Date.Time,Unit,Value
27.06.17 00:00,C,37.59
27.06.17 00:02,C,37.65
27.06.17 00:04,C,37.65
27.06.17 00:06,C,37.46
27.06.17 00:08,C,37.46
27.06.17 00:10,C,37.65
27.06.17 00:12,C,37.34
27.06.17 00:14,C,37.28
27.06.17 00:16,C,37.53
27.06.17 00:18,C,37.59
27.06.17 00:20,C,37.77
27.06.17 00:22,C,37.9
27.06.17 00:24,C,38.02
27.06.17 00:26,C,37.96
27.06.17 00:28,C,38.02
27.06.17 00:30,C,38.09
27.06.17 00:32,C,38.15
27.06.17 00:34,C,38.21
27.06.17 00:36,C,38.21
27.06.17 00:38,C,38.27
27.06.17 00:40,C,38.21
27.06.17 00:42,C,38.09
27.06.17 00:44,C,38.02
27.06.17 00:46,C,38.02
27.06.17 00:48,C,37.9
27.06.17 00:50,C,37.84
27.06.17 00:52,C,38.09
27.06.17 00:54,C,38.09
27.06.17 00:56,C,37.59
27.06.17 00:58,C,37.53
27.06.17 01:00,C,37.53
27.06.17 01:02,C,37.59
27.06.17 01:04,C,37.65
27.06.17 01:06,C,37.71
27.06.17 01:08,C,37.71
27.06.17 01:10,C,37.84
27.06.17 01:12,C,37.9
27.06.17 01:14,C,37.9
27.06.17 01:16,C,37.9
27.06.17 01:18,C,37.96
27.06.17 01:20,C,37.96
27.06.17 01:22,C,37.96
27.06.17 01:24,C,38.02
27.06.17 01:26,C,38.09
27.06.17 01:28,C,38.09
27.06.17 01:30,C,38.15
27.06.17 01:32,C,38.15
27.06.17 01:34,C,38.21
27.06.17 01:36,C,38.27
27.06.17 01:38,C,38.27
27.06.17 01:40,C,38.33
27.06.17 01:42,C,38.33
27.06.17 01:44,C,38.33
27.06.17 01:46,C,38.27
27.06.17 01:48,C,38.33
27.06.17 01:50,C,38.33
27.06.17 01:52,C,38.33
27.06.17 01:54,C,38.33
27.06.17 01:56,C,38.4
27.06.17 01:58,C,38.4
27.06.17 02:00,C,38.4
27.06.17 02:02,C,38.4
27.06.17 02:04,C,38.4
27.06.17 02:06,C,38.4
27.06.17 02:08,C,38.4
27.06.17 02:10,C,38.4
27.06.17 02:12,C,38.4
27.06.17 02:14,C,38.4
27.06.17 02:16,C,38.4
27.06.17 02:18,C,38.33
27.06.17 02:20,C,38.21
27.06.17 02:22,C,38.15
27.06.17 02:24,C,38.15
27.06.17 02:26,C,38.21
27.06.17 02:28,C,38.21
27.06.17 02:30,C,38.21
27.06.17 02:32,C,38.21
27.06.17 02:34,C,38.15
27.06.17 02:36,C,38.15
27.06.17 02:38,C,38.21
27.06.17 02:40,C,38.15
27.06.17 02:42,C,38.15
27.06.17 02:44,C,38.21
27.06.17 02:46,C,38.21
27.06.17 02:48,C,38.21
27.06.17 02:50,C,38.15
27.06.17 02:52,C,38.21
27.06.17 02:54,C,38.02
27.06.17 02:56,C,37.96
27.06.17 02:58,C,38.02
27.06.17 03:00,C,38.09
27.06.17 03:02,C,38.02
27.06.17 03:04,C,38.09
27.06.17 03:06,C,38.09
27.06.17 03:08,C,38.09
27.06.17 03:10,C,38.15
27.06.17 03:12,C,38.21
27.06.17 03:14,C,38.15
27.06.17 03:16,C,38.15
27.06.17 03:18,C,38.15
27.06.17 03:20,C,38.09
27.06.17 03:22,C,38.15
27.06.17 03:24,C,38.15
27.06.17 03:26,C,38.15
27.06.17 03:28,C,38.02
27.06.17 03:30,C,37.96
27.06.17 03:32,C,37.77
27.06.17 03:34,C,37.4
27.06.17 03:36,C,37.4
27.06.17 03:38,C,37.53
27.06.17 03:40,C,37.71
27.06.17 03:42,C,37.84
27.06.17 03:44,C,37.9
27.06.17 03:46,C,37.96
27.06.17 03:48,C,38.02
27.06.17 03:50,C,38.02
27.06.17 03:52,C,37.96
27.06.17 03:54,C,37.9
27.06.17 03:56,C,37.96
27.06.17 03:58,C,38.09
27.06.17 04:00,C,38.15
27.06.17 04:02,C,38.21
27.06.17 04:04,C,38.27
27.06.17 04:06,C,38.27
27.06.17 04:08,C,38.33
27.06.17 04:10,C,38.33
27.06.17 04:12,C,38.33
27.06.17 04:14,C,38.4
27.06.17 04:16,C,38.4
27.06.17 04:18,C,38.46
27.06.17 04:20,C,38.4
27.06.17 04:22,C,38.4
27.06.17 04:24,C,38.4
27.06.17 04:26,C,38.46
27.06.17 04:28,C,38.46
27.06.17 04:30,C,38.52
27.06.17 04:32,C,38.52
27.06.17 04:34,C,38.52
27.06.17 04:36,C,38.52
27.06.17 04:38,C,38.46
27.06.17 04:40,C,38.52
27.06.17 04:42,C,38.46
27.06.17 04:44,C,38.46
27.06.17 04:46,C,38.52
27.06.17 04:48,C,38.46
27.06.17 04:50,C,38.46
27.06.17 04:52,C,38.33
27.06.17 04:54,C,38.33
27.06.17 04:56,C,38.4
27.06.17 04:58,C,37.96
27.06.17 05:00,C,37.9
27.06.17 05:02,C,37.84
27.06.17 05:04,C,37.96
27.06.17 05:06,C,38.15
27.06.17 05:08,C,38.21
27.06.17 05:10,C,38.27
27.06.17 05:12,C,38.33
27.06.17 05:14,C,38.4
27.06.17 05:16,C,38.52
27.06.17 05:18,C,38.58
27.06.17 05:20,C,38.65
27.06.17 05:22,C,38.65
27.06.17 05:24,C,38.71
27.06.17 05:26,C,38.71
27.06.17 05:28,C,38.65
27.06.17 05:30,C,38.52
27.06.17 05:32,C,38.4
27.06.17 05:34,C,38.33
27.06.17 05:36,C,38.33
27.06.17 05:38,C,38.33
27.06.17 05:40,C,38.46
27.06.17 05:42,C,38.21
27.06.17 05:44,C,38.09
27.06.17 05:46,C,37.65
27.06.17 05:48,C,37.4
27.06.17 05:50,C,37.28
27.06.17 05:52,C,37.15
27.06.17 05:54,C,37.09
27.06.17 05:56,C,36.97
27.06.17 05:58,C,36.9
27.06.17 06:00,C,36.78
27.06.17 06:02,C,36.65
27.06.17 06:04,C,36.59
27.06.17 06:06,C,36.47
27.06.17 06:08,C,36.53
27.06.17 06:10,C,36.53
27.06.17 06:12,C,36.47
27.06.17 06:14,C,36.53
27.06.17 06:16,C,36.53
27.06.17 06:18,C,36.53
27.06.17 06:20,C,36.47
27.06.17 06:22,C,36.4
27.06.17 06:24,C,36.4
