Id,Date,RawTemp,Temperature,RawAct,Activity
66,2021-09-29 06:03:00,376,23.11,0,0
66,2021-09-29 06:13:00,377,23.17,0,0
66,2021-09-29 06:23:00,376,23.11,0,0
66,2021-09-29 06:33:00,377,23.17,0,0
66,2021-09-29 06:43:00,377,23.17,0,0
66,2021-09-29 06:53:00,377,23.17,0,0
66,2021-09-29 07:03:00,377,23.17,0,0
66,2021-09-29 07:13:00,377,23.17,0,0
66,2021-09-29 07:23:00,377,23.17,0,0
66,2021-09-29 07:33:00,378,23.23,0,0
66,2021-09-29 07:43:00,377,23.17,0,0
66,2021-09-29 07:53:00,377,23.17,9,1.5
66,2021-09-29 08:03:00,371,22.8,1,0.1
66,2021-09-29 08:13:00,369,22.67,0,0
66,2021-09-29 08:23:00,370,22.74,3,0.5
66,2021-09-29 08:33:00,373,22.92,0,0
66,2021-09-29 08:43:00,375,23.05,0,0
66,2021-09-29 08:53:00,377,23.17,0,0
66,2021-09-29 09:03:00,379,23.3,0,0
66,2021-09-29 09:13:00,380,23.36,0,0
66,2021-09-29 09:23:00,380,23.36,0,0
66,2021-09-29 09:33:00,381,23.42,10,1.6
66,2021-09-29 09:43:00,383,23.55,0,0
66,2021-09-29 09:53:00,384,23.61,0,0
66,2021-09-29 10:03:00,384,23.61,3,0.5
66,2021-09-29 10:13:00,385,23.67,5,0.8
66,2021-09-29 10:23:00,385,23.67,0,0
66,2021-09-29 10:33:00,386,23.73,0,0
66,2021-09-29 10:43:00,387,23.8,11,1.8
66,2021-09-29 10:53:00,386,23.73,52,8.6
66,2021-09-29 11:03:00,532,32.83,171,28.5
66,2021-09-29 11:13:00,552,34.08,357,59.5
66,2021-09-29 11:23:00,557,34.39,288,48
66,2021-09-29 11:33:00,557,34.39,197,32.8
66,2021-09-29 11:43:00,568,35.08,331,55.1
66,2021-09-29 11:53:00,546,33.71,452,75.3
66,2021-09-29 12:03:00,536,33.08,513,85.5
66,2021-09-29 12:13:00,505,31.15,444,74
66,2021-09-29 12:23:00,483,29.78,502,83.6
66,2021-09-29 12:33:00,471,29.03,473,78.8
66,2021-09-29 12:43:00,460,28.35,471,78.5
66,2021-09-29 12:53:00,450,27.72,535,89.1
66,2021-09-29 13:03:00,441,27.16,480,80
66,2021-09-29 13:13:00,433,26.66,511,85.1
66,2021-09-29 13:23:00,429,26.41,514,85.6
66,2021-09-29 13:33:00,427,26.29,446,74.3
66,2021-09-29 13:43:00,424,26.1,471,78.5
66,2021-09-29 13:53:00,423,26.04,513,85.5
66,2021-09-29 14:03:00,423,26.04,466,77.6
66,2021-09-29 14:13:00,422,25.98,544,90.6
66,2021-09-29 14:23:00,423,26.04,464,77.3
66,2021-09-29 14:33:00,423,26.04,509,84.8
66,2021-09-29 14:43:00,423,26.04,435,72.5
66,2021-09-29 14:53:00,424,26.1,431,71.8
66,2021-09-29 15:03:00,424,26.1,549,91.5
66,2021-09-29 15:13:00,426,26.23,480,80
66,2021-09-29 15:23:00,424,26.1,497,82.8
66,2021-09-29 15:33:00,425,26.16,452,75.3
66,2021-09-29 15:43:00,425,26.16,350,58.3
66,2021-09-29 15:53:00,427,26.29,398,66.3
66,2021-09-29 16:03:00,425,26.16,523,87.1
66,2021-09-29 16:13:00,426,26.23,420,70
66,2021-09-29 16:23:00,424,26.1,483,80.5
66,2021-09-29 16:33:00,426,26.23,478,79.6
66,2021-09-29 16:43:00,428,26.35,453,75.5
66,2021-09-29 16:53:00,430,26.48,467,77.8
66,2021-09-29 17:03:00,427,26.29,394,65.6
66,2021-09-29 17:13:00,428,26.35,454,75.6
66,2021-09-29 17:23:00,427,26.29,339,56.5
66,2021-09-29 17:33:00,428,26.35,302,50.3
66,2021-09-29 17:43:00,430,26.48,267,44.5
66,2021-09-29 17:53:00,428,26.35,373,62.1
66,2021-09-29 18:03:00,428,26.35,404,67.3
66,2021-09-29 18:13:00,427,26.29,335,55.8
66,2021-09-29 18:23:00,427,26.29,238,39.6
66,2021-09-29 18:33:00,426,26.23,355,59.1
66,2021-09-29 18:43:00,424,26.1,378,63
66,2021-09-29 18:53:00,424,26.1,286,47.6
66,2021-09-29 19:03:00,427,26.29,225,37.5
66,2021-09-29 19:13:00,428,26.35,262,43.6
66,2021-09-29 19:23:00,426,26.23,306,51
66,2021-09-29 19:33:00,431,26.54,254,42.3
66,2021-09-29 19:43:00,433,26.66,196,32.6
66,2021-09-29 19:53:00,435,26.79,261,43.5
66,2021-09-29 20:03:00,436,26.85,222,37
66,2021-09-29 20:13:00,436,26.85,220,36.6
66,2021-09-29 20:23:00,437,26.91,258,43
66,2021-09-29 20:33:00,437,26.91,211,35.1
66,2021-09-29 20:43:00,435,26.79,219,36.5
66,2021-09-29 20:53:00,436,26.85,223,37.1
66,2021-09-29 21:03:00,437,26.91,292,48.6
66,2021-09-29 21:13:00,435,26.79,194,32.3
66,2021-09-29 21:23:00,437,26.91,205,34.1
